"auto_id" "taxon_name" "name_c" "category" "version" "criteria" "adjusting" "taxon_group" "name_code"
1 "Hynobius glacialis" "南湖山椒魚" "NCR" "v1080131" "B1ab(iii)" NA "amphibian" "413088"
2 "Babina okinavana" "豎琴蛙" "NCR" "v1080131" "B1ab(iii)" NA "amphibian" "416138"
3 "Hynobius formosanus" "臺灣山椒魚" "NEN" "v1080131" "B1ab(iii)" NA "amphibian" "380054"
4 "Hynobius fuca" "觀霧山椒魚" "NEN" "v1080131" "B1ab(ii,iii)" NA "amphibian" "413087"
5 "Hynobius sonani" "楚南氏山椒魚" "NEN" "v1080131" "B1ab(iii)" NA "amphibian" "380055"
6 "Hylarana taipehensis" "臺北赤蛙" "NEN" "v1080131" "B2ab(ii,iii,iv)c(ii,iii)" NA "amphibian" "416658"
7 "Rhacophorus arvalis" "諸羅樹蛙" "NEN" "v1080131" "B1ab(i,iii,iv)c(iii)" NA "amphibian" "380048"
8 "Rhacophorus aurantiventris" "橙腹樹蛙" "NEN" "v1080131" "B2ab(iii)" NA "amphibian" "380049"
9 "Hynobius arisanensis" "阿里山山椒魚" "NVU" "v1080131" "B2ab(iii)" NA "amphibian" "380053"
10 "Micryletta steinegeri" "史丹吉氏小雨蛙" "NVU" "v1080131" "B1b(i,iii)c(iii)" NA "amphibian" "380028"
11 "Rhacophorus taipeianus" "臺北樹蛙" "NVU" "v1080131" "B1ab(i)" NA "amphibian" "380052"
12 "Pelophylax fukienensis" "福建金線蛙" "NNT" "v1080131" NA NA "amphibian" "418420"
13 "Rana longicrus" "長腳赤蛙" "NNT" "v1080131" NA NA "amphibian" "380035"
14 "Rhacophorus prasinatus" "翡翠樹蛙" "NNT" "v1080131" NA NA "amphibian" "380051"
15 "Bufo bankorensis" "盤古蟾蜍" "NLC" "v1080131" NA NA "amphibian" "380021"
16 "Duttaphrynus melanostictus" "黑眶蟾蜍" "NLC" "v1080131" NA NA "amphibian" "416157"
17 "Fejervarya limnocharis" "澤蛙" "NLC" "v1080131" NA NA "amphibian" "432833"
18 "Hoplobatrachus rugulosus" "虎皮蛙" "NLC" "v1080131" NA NA "amphibian" "416160"
19 "Limnonectes fujianensis" "福建大頭蛙" "NLC" "v1080131" NA NA "amphibian" "380032"
20 "Hyla chinensis" "中國樹蟾" "NLC" "v1080131" NA NA "amphibian" "380023"
21 "Microhyla fissipes" "小雨蛙" "NLC" "v1080131" NA NA "amphibian" "416174"
22 "Microhyla heymonsi" "黑蒙西氏小雨蛙" "NLC" "v1080131" NA NA "amphibian" "380026"
23 "Babina adenopleura" "腹斑蛙" "NLC" "v1080131" NA NA "amphibian" "380029"
24 "Hylarana guentheri" "貢德氏赤蛙" "NLC" "v1080131" NA NA "amphibian" "416165"
25 "Hylarana latouchii" "拉都希氏赤蛙" "NLC" "v1080131" NA NA "amphibian" "416651"
