"auto_id" "taxon_name" "name_c" "redlist_taxon_rank" "category" "version" "criteria" "adjusting" "taxon_group" "name_code" "TBN_scientific_name" "Different_scientific_name" "TBN_taxon_rank" "tp_tid" "ra_tid" "uuid"
1 "Hynobius glacialis" "南湖山椒魚" "species" "NCR" "v1080131" "B1ab(iii)" NA "amphibian" "413088" "Hynobius glacialis" NA "species" 413088 413088 "9610bea3-8a90-417e-9948-2fabb701fd7f"
2 "Babina okinavana" "豎琴蛙" "species" "NCR" "v1080131" "B1ab(iii)" NA "amphibian" "416138" "Babina okinavana" NA "species" 416138 416138 "127088ed-624d-415b-805b-42af0057f031"
3 "Hynobius formosanus" "臺灣山椒魚" "species" "NEN" "v1080131" "B1ab(iii)" NA "amphibian" "380054" "Hynobius formosanus" NA "species" 380054 380054 "53f81e9d-d079-42a1-a9f1-6fa6e96eaa52"
4 "Hynobius fuca" "觀霧山椒魚" "species" "NEN" "v1080131" "B1ab(ii,iii)" NA "amphibian" "413087" "Hynobius fuca" NA "species" 413087 413087 "e8a89a66-cc57-454f-84ba-2cde6ac5fbd3"
5 "Hynobius sonani" "楚南氏山椒魚" "species" "NEN" "v1080131" "B1ab(iii)" NA "amphibian" "380055" "Hynobius sonani" NA "species" 380055 380055 "9ef5200b-f94b-4a6b-bdc8-e8a6ba6a548b"
6 "Hylarana taipehensis" "臺北赤蛙" "species" "NEN" "v1080131" "B2ab(ii,iii,iv)c(ii,iii)" NA "amphibian" "416658" "Hylarana taipehensis" NA "species" 416658 416658 "2457ec2f-57ac-496f-b072-e0a310d77226"
7 "Rhacophorus arvalis" "諸羅樹蛙" "species" "NEN" "v1080131" "B1ab(i,iii,iv)c(iii)" NA "amphibian" "380048" "Rhacophorus arvalis" NA "species" 380048 380048 "24ac63cf-dc3f-4431-a176-1f9225c6a56a"
8 "Rhacophorus aurantiventris" "橙腹樹蛙" "species" "NEN" "v1080131" "B2ab(iii)" NA "amphibian" "380049" "Rhacophorus aurantiventris" NA "species" 380049 380049 "ea348cf4-0ae6-4eec-8556-5084d658982e"
9 "Hynobius arisanensis" "阿里山山椒魚" "species" "NVU" "v1080131" "B2ab(iii)" NA "amphibian" "380053" "Hynobius arisanensis" NA "species" 380053 380053 "00a2f8fd-ff08-4b5f-8d37-0880e7320587"
10 "Micryletta steinegeri" "史丹吉氏小雨蛙" "species" "NVU" "v1080131" "B1b(i,iii)c(iii)" NA "amphibian" "380028" "Micryletta steinegeri" NA "species" 380028 380028 "a4c36a54-1c37-402d-93c2-a3f276bf8f4d"
