"Scientific name_IUCN" "Chinese common name" "category_IUCN" "Version" "criteria_IUCN" "tp_tid" "ra_tid" "namecode" "uuid" "rank"
"Ablennes hians" "扁鶴鱵" "LC" "v1080129" NA 380859 380859 380859 "bbd4b961-2c31-4fcd-b3ec-e5c8ff0bb03f" "species"
"Abroscopus albogularis" "棕面鶯" "LC" "v1080129" NA 1023411 1023411 NA "87ee4326-4385-4867-9023-30fd6fd73d09" "species"
"Abudefduf bengalensis" "孟加拉豆娘魚" "LC" "v1080129" NA 382306 382306 382306 "7c071648-9fee-493e-aba8-495d9b99f19c" "species"
"Abudefduf lorenzi" "勞倫氏豆娘魚" "LC" "v1080129" NA 382307 382307 382307 "e691af01-6543-4be8-93bc-24fd3ca5b839" "species"
"Abudefduf notatus" "黃尾豆娘魚" "LC" "v1080129" NA 382308 382308 382308 "640b403c-c332-414f-92e7-bb9c3d259c56" "species"
"Abudefduf septemfasciatus" "七帶豆娘魚" "LC" "v1080129" NA 382309 382309 382309 "aae89c6d-4376-4d68-9633-fd6f603127e9" "species"
"Abudefduf sexfasciatus" "六線豆娘魚" "LC" "v1080129" NA 382310 382310 382310 "6c460596-e70b-4281-894b-fc708a5aba31" "species"
"Abudefduf sordidus" "梭地豆娘魚" "LC" "v1080129" NA 382311 382311 382311 "35b41571-3a3b-4d0e-bc6f-d79ee41c5e66" "species"
"Abudefduf vaigiensis" "條紋豆娘魚" "LC" "v1080129" NA 382312 382312 382312 "a5445d8a-8179-4cdc-b905-07a6f41821ee" "species"
"Acanthis flammea" "普通朱頂雀" "LC" "v1080129" NA 425288 425288 425288 "5e1327f7-8805-4a7c-b478-5bf397c13bc2" "species"
"Acanthocybium solandri" "棘鰆" "LC" "v1080129" NA 382484 382484 382484 "cf775610-bbf1-4164-8bb0-b7621bcb2e50" "species"
"Acanthonus armatus" "大棘鼬魚" "LC" "v1080129" NA 383235 383235 383235 "f8367646-6283-4425-a0ea-e3cc98fe10b1" "species"
"Acanthopagrus chinshira" "琉球棘鯛" "NT" "v1080129" NA 395484 395484 395484 "9becef6b-4efb-46ef-8c04-b9b64beedc3e" "species"
"Acanthopagrus latus" "黃鰭棘鯛" "DD" "v1080129" NA 382634 382634 382634 "59f56750-3fa5-4384-99d6-9c2c614e3f40" "species"
"Acanthopagrus pacificus" "太平洋棘鯛" "LC" "v1080129" NA 395485 395485 395485 "162ccaa3-f4ae-440d-9019-0973d295b7ad" "species"
"Acanthopagrus schlegelii" "黑棘鯛" "LC" "v1080129" NA 382635 382635 382635 "0229a9c0-6403-422a-be9f-3b5e0efbb945" "species"
"Acanthopagrus sivicolus" "橘鰭棘鯛" "VU" "v1080129" "B2ab(iii,v)" 382636 382636 382636 "e24eca3e-df1d-4d78-ada3-fac2fa6bbf41" "species"
"Acanthopagrus taiwanensis" "臺灣棘鯛" "DD" "v1080129" NA 395344 395344 395344 "8bd92ddf-1ce5-47f6-96a7-274012238892" "species"
"Acanthurus bariene" "肩斑刺尾鯛" "LC" "v1080129" NA 381260 381260 381260 "56606ea8-0434-43b3-80cf-0e01ba597169" "species"
"Acanthurus blochii" "布氏刺尾鯛" "LC" "v1080129" NA 381261 381261 381261 "242ace68-efe2-4b69-a3b9-61414687bdd0" "species"
"Acanthurus dussumieri" "杜氏刺尾鯛" "LC" "v1080129" NA 381262 381262 381262 "4b5c9589-440d-44e7-b197-d07c0e1cfd07" "species"
"Acanthurus guttatus" "斑點刺尾鯛" "LC" "v1080129" NA 381263 381263 381263 "35923e36-c394-4724-9191-0619e62d73d8" "species"
"Acanthurus japonicus" "日本刺尾鯛" "LC" "v1080129" NA 381264 381264 381264 "1b724d4a-e4f9-4ee0-a18e-60bf26c40576" "species"
"Acanthurus leucopareius" "白斑刺尾鯛" "LC" "v1080129" NA 381265 381265 381265 "3fc10543-c407-4fc3-89a0-2886d6df8386" "species"
"Acanthurus lineatus" "線紋刺尾鯛" "LC" "v1080129" NA 381266 381266 381266 "8f31f7d6-2abe-4557-9777-0744fa453998" "species"
"Acanthurus maculiceps" "頭斑刺尾鯛" "LC" "v1080129" NA 381267 381267 381267 "970fe796-34a4-40ab-9c8b-26d329880cfa" "species"
"Acanthurus mata" "後刺尾鯛" "LC" "v1080129" NA 381268 381268 381268 "89388680-7af7-44ee-bb50-a1485877c323" "species"
"Acanthurus nigricans" "白面刺尾鯛" "LC" "v1080129" NA 381269 381269 381269 "6be1b617-21c1-4a70-b539-c65f991d66ca" "species"
"Acanthurus nigricauda" "黑尾刺尾鯛" "LC" "v1080129" NA 381270 381270 381270 "d339b2b8-66f3-45d1-8e81-e568a023be10" "species"
"Acanthurus nigrofuscus" "褐斑刺尾鯛" "LC" "v1080129" NA 381271 381271 381271 "2a53b349-163d-43b6-b7a7-6d82cd48d8cc" "species"
"Acanthurus nubilus" "密線刺尾鯛" "LC" "v1080129" NA 383237 383237 383237 "33811d8d-1a93-4bf4-9260-021ef8595ead" "species"
"Acanthurus olivaceus" "一字刺尾鯛" "LC" "v1080129" NA 381272 381272 381272 "b38af6c7-3391-4231-bc08-ba67cadd90ee" "species"
"Acanthurus pyroferus" "火紅刺尾鯛" "LC" "v1080129" NA 381273 381273 381273 "a9f005ee-e35d-470d-b726-d9baa4546b69" "species"
"Acanthurus thompsoni" "黃尾刺尾鯛" "LC" "v1080129" NA 381274 381274 381274 "15bb9630-bb19-4ae2-b32a-ef241d377893" "species"
"Acanthurus triostegus" "綠刺尾鯛" "LC" "v1080129" NA 381275 381275 381275 "df40b97d-d5bc-4546-805b-ee5a6a9856b1" "species"
"Acanthurus xanthopterus" "黃鰭刺尾鯛" "LC" "v1080129" NA 381276 381276 381276 "22fd21d3-88cc-4c8e-891d-ac6b22c88a73" "species"
"Accipiter badius" "褐耳鷹" "LC" "v1080129" NA 1023421 1023421 NA "20363a3c-1e5c-4162-a830-67fe4e451174" "species"
"Accipiter gentilis" "蒼鷹" "LC" "v1080129" NA 1023422 1023422 NA "5a00f75f-2e53-4c6d-b55a-884f1ce64770" "species"
"Accipiter gularis" "日本松雀鷹" "LC" "v1080129" NA 1023423 1023423 NA "41ce80a3-d156-4a32-8d50-cbd9938eb8cb" "species"
"Accipiter nisus" "北雀鷹" "LC" "v1080129" NA 1023424 1023424 NA "a0a98d9d-fef5-47ac-afa8-a52cebadfb47" "species"
"Accipiter soloensis" "赤腹鷹" "LC" "v1080129" NA 380099 380099 380099 "361a3560-d085-4fd2-b6f6-521f4c8049a5" "species"
"Accipiter trivirgatus" "鳳頭蒼鷹" "LC" "v1080129" NA 1023425 1023425 NA "c3d7eb24-c683-40c1-a077-93141d28ae33" "species"
"Accipiter virgatus" "松雀鷹" "LC" "v1080129" NA 1023426 1023426 NA "828253a2-1f00-401b-b5c9-f3a37791600a" "species"
"Acentrogobius audax" NA "LC" "v1080129" NA 395506 395506 395506 "4e3adbf5-2a27-421d-a538-567dcb30b2fc" "species"
"Achalinus formosanus" "臺灣標蛇" "LC" "v1080129" NA 380628 380628 380628 "d348ba61-0bed-467a-a2b3-4bb7b4a826f0" "species"
"Achalinus niger" "標蛇" "LC" "v1080129" NA 380629 380629 380629 "2c477dd1-88b2-49d3-b072-8a72bf225ad7" "species"
"Acreichthys tomentosus" "白線鬃尾單棘魨" "LC" "v1080129" NA 383239 383239 383239 "ad1537ae-e561-423e-86e4-f7a1bfd30add" "species"
"Acridotheres burmannicus" "葡萄胸椋鳥" "LC" "v1080129" NA 419435 419435 419435 "0f871b7a-9fca-4418-b8fa-acc05a9590ab" "species"
"Acridotheres cristatellus" "八哥" "LC" "v1080129" NA 1023443 1023443 NA "56db805c-faf5-417c-8d04-ae8f442ca622" "species"
"Acridotheres fuscus" "林八哥" "LC" "v1080129" NA 404535 404535 404535 "b229d21c-ae28-49b7-a287-92bd0b26949e" "species"
"Acridotheres javanicus" "白尾八哥" "VU" "v1080129" "A2d+3d+4d" 404536 404536 404536 "233a25cd-bac6-4bb2-94bb-a4b4c173c218" "species"
"Acridotheres tristis" "家八哥" "LC" "v1080129" NA 1023444 1023444 NA "d9ba0042-a694-46fe-ba3b-1f2130c4a49a" "species"
"Acrocephalus agricola" "稻田葦鶯" "LC" "v1080129" NA 419654 419654 419654 "71b02893-9cf8-4523-ba2b-f23531b90006" "species"
"Acrocephalus bistrigiceps" "雙眉葦鶯" "LC" "v1080129" NA 380454 380454 380454 "5f4a5de8-704b-4fa1-9afb-836c0c5aafdb" "species"
"Acrocephalus dumetorum" "布氏葦鶯" "LC" "v1080129" NA 419655 419655 419655 "aba78986-2553-44eb-b54e-ed1514edb60c" "species"
"Acrocephalus orientalis" "東方大葦鶯" "LC" "v1080129" NA 404538 404538 404538 "5c6e0465-66ef-4dfc-bfca-0878be75119b" "species"
"Acrocephalus sorghophilus" "細紋葦鶯" "EN" "v1080129" "C2a(i,ii)" 404539 404539 404539 "5dbb2b00-a638-4838-bb08-6e884152302b" "species"
"Acrocephalus tangorum" "遠東葦鶯" "VU" "v1080129" "C2a(ii)" 425260 425260 425260 "b6dc0713-111d-4b39-b283-f330282f5341" "species"
