"","auto_id","Scientific.name.species","taxon_name_species","taxon_name_infraspecies","TBN學名_infraspecies","name_c.x","name_e","category","criteria","adjusting","taxon_group","name_code","taxon_rank","tp_tid","ra_tid","taibnet_namecode","uuid","rank","class","class_c","order","order_c","family","family_c","genus","genus_c","name_c.y","is_endemic","is_alien","is_protected"
"1",1,"Hynobius glacialis","Hynobius glacialis","Hynobius glacialis","Hynobius glacialis","南湖山椒魚",NA,"NCR","B1ab(iii)"," ","amphibian","413088","species",413088,413088,413088,"9610bea3-8a90-417e-9948-2fabb701fd7f","species","Amphibia","兩生綱","Caudata","有尾目","Hynobiidae","山椒魚科","Hynobius","小鯢屬","南湖山椒魚","Y"," ","Y"
"2",2,"Babina okinavana","Babina okinavana","Babina okinavana","Babina okinavana","豎琴蛙",NA,"NCR","B1ab(iii)"," ","amphibian","416138","species",416138,416138,416138,"127088ed-624d-415b-805b-42af0057f031","species","Amphibia","兩生綱","Anura","無尾目","Ranidae","赤蛙科","Babina","拇棘蛙屬","豎琴蛙"," "," ","Y"
"3",3,"Hynobius formosanus","Hynobius formosanus","Hynobius formosanus","Hynobius formosanus","臺灣山椒魚",NA,"NEN","B1ab(iii)"," ","amphibian","380054","species",380054,380054,380054,"53f81e9d-d079-42a1-a9f1-6fa6e96eaa52","species","Amphibia","兩生綱","Caudata","有尾目","Hynobiidae","山椒魚科","Hynobius","小鯢屬","臺灣山椒魚","Y"," ","Y"
"4",4,"Hynobius fuca","Hynobius fuca","Hynobius fuca","Hynobius fuca","觀霧山椒魚",NA,"NEN","B1ab(ii,iii)"," ","amphibian","413087","species",413087,413087,413087,"e8a89a66-cc57-454f-84ba-2cde6ac5fbd3","species","Amphibia","兩生綱","Caudata","有尾目","Hynobiidae","山椒魚科","Hynobius","小鯢屬","觀霧山椒魚","Y"," ","Y"
"5",5,"Hynobius sonani","Hynobius sonani","Hynobius sonani","Hynobius sonani","楚南氏山椒魚",NA,"NEN","B1ab(iii)"," ","amphibian","380055","species",380055,380055,380055,"9ef5200b-f94b-4a6b-bdc8-e8a6ba6a548b","species","Amphibia","兩生綱","Caudata","有尾目","Hynobiidae","山椒魚科","Hynobius","小鯢屬","楚南氏山椒魚","Y"," ","Y"
"6",6,"Hylarana taipehensis","Hylarana taipehensis","Hylarana taipehensis","Hylarana taipehensis","臺北赤蛙",NA,"NEN","B2ab(ii,iii,iv)c(ii,iii)"," ","amphibian","416658","species",416658,416658,416658,"2457ec2f-57ac-496f-b072-e0a310d77226","species","Amphibia","兩生綱","Anura","無尾目","Ranidae","赤蛙科","Hylarana","水蛙屬","臺北赤蛙"," "," ","Y"
"7",7,"Rhacophorus arvalis","Rhacophorus arvalis","Rhacophorus arvalis","Rhacophorus arvalis","諸羅樹蛙",NA,"NEN","B1ab(i,iii,iv)c(iii)"," ","amphibian","380048","species",380048,380048,380048,"24ac63cf-dc3f-4431-a176-1f9225c6a56a","species","Amphibia","兩生綱","Anura","無尾目","Rhacophoridae","樹蛙科","Rhacophorus","樹蛙屬","諸羅樹蛙","Y"," ","Y"
"8",8,"Rhacophorus aurantiventris","Rhacophorus aurantiventris","Rhacophorus aurantiventris","Rhacophorus aurantiventris","橙腹樹蛙",NA,"NEN","B2ab(iii)"," ","amphibian","380049","species",380049,380049,380049,"ea348cf4-0ae6-4eec-8556-5084d658982e","species","Amphibia","兩生綱","Anura","無尾目","Rhacophoridae","樹蛙科","Rhacophorus","樹蛙屬","橙腹樹蛙","Y"," ","Y"
"9",9,"Hynobius arisanensis","Hynobius arisanensis","Hynobius arisanensis","Hynobius arisanensis","阿里山山椒魚",NA,"NVU","B2ab(iii)"," ","amphibian","380053","species",380053,380053,380053,"00a2f8fd-ff08-4b5f-8d37-0880e7320587","species","Amphibia","兩生綱","Caudata","有尾目","Hynobiidae","山椒魚科","Hynobius","小鯢屬","阿里山山椒魚","Y"," ","Y"
"10",10,"Micryletta steinegeri","Micryletta steinegeri","Micryletta steinegeri","Micryletta steinegeri","史丹吉氏小雨蛙",NA,"NVU","B1b(i,iii)c(iii)"," ","amphibian","380028","species",380028,380028,380028,"a4c36a54-1c37-402d-93c2-a3f276bf8f4d","species","Amphibia","兩生綱","Anura","無尾目","Microhylidae","狹口蛙科","Micryletta","小姬蛙屬","史丹吉氏小雨蛙","Y"," "," "
"11",11,"Rhacophorus taipeianus","Rhacophorus taipeianus","Rhacophorus taipeianus","Rhacophorus taipeianus","臺北樹蛙",NA,"NVU","B1ab(i)"," ","amphibian","380052","species",380052,380052,380052,"3a7000ea-cb36-4995-8d90-7dcd37c51a34","species","Amphibia","兩生綱","Anura","無尾目","Rhacophoridae","樹蛙科","Rhacophorus","樹蛙屬","臺北樹蛙","Y"," ","Y"
"12",12,"Pelophylax fukienensis","Pelophylax fukienensis","Pelophylax fukienensis","Pelophylax fukienensis","福建金線蛙",NA,"NNT"," "," ","amphibian","418420","species",418420,418420,418420,"631a9f03-306f-4a24-b947-f20244505f4f","species","Amphibia","兩生綱","Anura","無尾目","Ranidae","赤蛙科","Pelophylax","側褶蛙屬","金線蛙"," "," ","Y"
"13",13,"Rana longicrus","Rana longicrus","Rana longicrus","Rana longicrus","長腳赤蛙",NA,"NNT"," "," ","amphibian","380035","species",380035,380035,380035,"adde0a74-1e78-4b42-9a22-62f2f444852e","species","Amphibia","兩生綱","Anura","無尾目","Ranidae","赤蛙科","Rana","蛙屬","長腳赤蛙"," "," "," "
"14",14,"Rhacophorus prasinatus","Rhacophorus prasinatus","Rhacophorus prasinatus","Rhacophorus prasinatus","翡翠樹蛙",NA,"NNT"," "," ","amphibian","380051","species",380051,380051,380051,"8ce5f221-61ad-4e5d-a084-5084d8c9b055","species","Amphibia","兩生綱","Anura","無尾目","Rhacophoridae","樹蛙科","Rhacophorus","樹蛙屬","翡翠樹蛙","Y"," ","Y"
"15",15,"Bufo bankorensis","Bufo bankorensis","Bufo bankorensis","Bufo bankorensis","盤古蟾蜍",NA,"NLC"," "," ","amphibian","380021","species",380021,380021,380021,"bf6a3e58-a8a5-4c76-9658-81a672faea92","species","Amphibia","兩生綱","Anura","無尾目","Bufonidae","蟾蜍科","Bufo","蟾蜍屬","盤古蟾蜍","Y"," "," "
"16",16,"Duttaphrynus melanostictus","Duttaphrynus melanostictus","Duttaphrynus melanostictus","Duttaphrynus melanostictus","黑眶蟾蜍",NA,"NLC"," "," ","amphibian","416157","species",416157,416157,416157,"54754afb-b5c8-4849-8405-4e74f1c936cb","species","Amphibia","兩生綱","Anura","無尾目","Bufonidae","蟾蜍科","Duttaphrynus"," ","黑眶蟾蜍"," "," "," "
"17",17,"Fejervarya kawamurai","Fejervarya limnocharis","Fejervarya limnocharis","Fejervarya kawamurai","澤蛙",NA,"NLC"," "," ","amphibian","432833","species",380034,380034,380034,"9fd8a640-b420-4e46-8073-f6865124c318","species","Amphibia","兩生綱","Anura","無尾目","Dicroglossidae","叉舌蛙科","Fejervarya","陸蛙屬","澤蛙"," "," "," "
"18",18,"Hoplobatrachus rugulosus","Hoplobatrachus rugulosus","Hoplobatrachus rugulosus","Hoplobatrachus rugulosus","虎皮蛙",NA,"NLC"," "," ","amphibian","416160","species",416160,416160,416160,"255b6444-4f05-4faf-9011-b35215176e0c","species","Amphibia","兩生綱","Anura","無尾目","Dicroglossidae","叉舌蛙科","Hoplobatrachus","虎紋蛙屬","虎皮蛙"," "," "," "
