"","result.scientific_name","result.category","result.criteria"
"1","Anhydrophryne rattrayi","VU","B1ab(iii)"
"2","Tsingymantis antitra","EN","B1ab(iii)"
"3","Rhinella manu","LC"," "
"4","Chimerella mariaelenae","LC"," "
"5","Pristimantis aquilonaris","LC"," "
"6","Ctenophryne barbatula","EN","B1ab(iii)"
"7","Mantidactylus noralottae","DD"," "
"8","Anodonthyla moramora","EN","B1ab(iii)"
"9","Telmatobius punctatus","EN","B1ab(iii,v)"
"10","Oreobates lehri","EN","B1ab(iii)"
"11","Anodonthyla hutchisoni","EN","B1ab(iii)"
"12","Pristimantis leucorrhinus","DD"," "
"13","Boophis baetkei","CR","B1ab(iii)"
"14","Nyctibatrachus dattatreyaensis","CR","B1ab(iii)"
"15","Callulina dawida","CR","B2ab(iii)"
"16","Arthroleptis nguruensis","VU","D2"
"17","Noblella coloma","DD"," "
"18","Atelopus chirripoensis","CR","D"
"19","Diasporus ventrimaculatus","VU","D2"
"20","Raorchestes akroparallagi","LC"," "
"21","Raorchestes chotta","DD"," "
"22","Raorchestes coonoorensis","LC"," "
"23","Pseudophilautus kani","LC"," "
"24","Raorchestes sushili","CR","B1ab(iii)"
"25","Gracixalus quyeti","EN","B1ab(iii)"
"26","Raorchestes chromasynchysi","VU","B1ab(iii)"
"27","Allobates paleovarzensis","NT"," "
"28","Anodonthyla pollicaris","DD"," "
"29","Anodonthyla emilei","EN","B1ab(iii)"
"30","Allobates algorei","LC"," "
"31","Anomaloglossus confusus","EN","B1ab(i,iii)"
"32","Arthroleptis perreti","EN","B1ab(iii)"
"33","Austrochaperina minutissima","DD"," "
"34","Bufo eichwaldi","VU","A2bce; B1ab(iii,iv)"
"35","Cryptotriton sierraminensis","DD"," "
"36","Ichthyophis khumhzi","DD"," "
"37","Ichthyophis moustakius","DD"," "
"38","Ichthyophis sendenyu","DD"," "
"39","Limnonectes megastomias","VU","B1ab(iii)"
"40","Odorrana geminata","VU","B1ab(iii)"
"41","Osteocephalus castaneicola","LC"," "
"42","Scinax iquitorum","LC"," "
"43","Minervarya chilapata","DD"," "
"44","Rhaebo andinophrynoides","VU","B1ab(iii)"
"45","Leptolalax applebyi","EN","B1ab(iii)"
"46","Callulina hanseni","CR","B1ab(iii)"
"47","Callulina kanga","CR","B1ab(iii)"
"48","Callulina laphami","CR","B1ab(iii)"
"49","Callulina shengena","CR","B1ab(iii)"
"50","Callulina stanleyi","CR","B1ab(iii)"
