"","X","Scientific.name","Chinese.common.name","Protected.Species.category"
"1",1,"Antilocapra americana%(Only the population of Mexico; no other population is included in this list)","北美叉角羚(僅墨西哥族群)","I"
"2",2,"Addax nasomaculatus","弓角羚羊","I"
"3",3,"Ammotragus lervia","髯羊","II"
"4",4,"Bos gaurus%(Excludes the domesticated form, which is referenced as Bos frontalis)","牛曷牛(家畜型除外)","I"
"5",5,"Bos mutus%(Excludes the domesticated form, which is referenced as Bos grunniens)","犛牛(家畜型除外)","I"
"6",6,"Bos sauveli","考布利牛","I"
"7",7,"Bubalus depressicornis","矮水牛","I"
"8",8,"Bubalus mindorensis","菲律賓水牛","I"
"9",9,"Bubalus quarlesi","山地矮野水牛","I"
"10",10,"Budorcas taxicolor","扭角羚","II"
"11",11,"Capra falconeri","螺角山羊","I"
"12",12,"Capricornis milneedwardsii","中華鬣羚","I"
"13",13,"Capricornis rubidus","紅鬣羚","I"
"14",14,"Capricornis sumatraensis","蘇門達臘鬣羚","I"
"15",15,"Capricornis swinhoei","臺灣野山羊(臺灣長鬃山羊)","III"
"16",16,"Capricornis thar","喜馬拉雅鬣羚","I"
"17",17,"Cephalophus brookei","布魯克遁羚","II"
"18",18,"Cephalophus dorsalis","海灣遁羚","II"
"19",19,"Cephalophus jentinki","珍氏遁羚","I"
"20",20,"Cephalophus ogilbyi","奧吉碧遁羚","II"
"21",21,"Cephalophus silvicultor","黃背遁羚","II"
"22",22,"Cephalophus zebra","斑紋遁羚","II"
"23",23,"Damaliscus pygargus pygargus","白臀白面狷羚","II"
"24",24,"Gazella cuvieri","奎氏瞪羚","I"
"25",25,"Gazella leptoceros","細角瞪羚","I"
"26",26,"Hippotragus niger variani","馬羚","I"
"27",27,"Kobus leche","紅水羚","II"
"28",28,"Naemorhedus baileyi","紅山羚","I"
"29",29,"Naemorhedus caudatus","華北山羚","I"
"30",30,"Naemorhedus goral","喀什米爾山羚","I"
"31",31,"Naemorhedus griseus","華南山羚","I"
"32",32,"Nanger dama","鹿羚","I"
"33",33,"Oryx dammah","彎角羚","I"
"34",34,"Oryx leucoryx","阿拉伯羚","I"
"35",35,"Ovis ammon","盤羊","II"
"36",36,"Ovis canadensis(Only the population of Mexico; no other population is included in this list)","大角羊(僅墨西哥族群)","II"
"37",37,"Ovis aries ophion%(Synonym : Ovis orientalis ophion)","塞普路斯赤羊","I"
"38",38,"Ovis aries vignei%(Synonym : Ovis vignei)","沙寶赤羊","II"
"39",39,"Pantholops hodgsonii","藏羚","I"
"40",40,"Philantomba monticola","藍遁羚","II"
"41",41,"Pseudoryx nghetinhensis","武廣牛","I"
"42",42,"Rupicapra pyrenaica ornate","阿伯魯玆雪米羚","II"
"43",43,"Saiga borealis","蒙古賽加羚羊","II"
"44",44,"Saiga tatarica","大鼻羚","II"
"45",45,"Lama guanicoe","原駝","II"
"46",46,"Vicugna vicugna","南美駝馬","II"
"47",47,"Axis calamianensis","喀拉米豚鹿","I"
"48",48,"Axis kuhlii","印度豚鹿","I"
"49",49,"Axis porcinus annamiticus","恆河豚鹿","I"
"50",50,"Blastocerus dichotomus","沼澤鹿","I"
"51",51,"Cervus elaphus bactrianus","中亞紅鹿","II"
"52",52,"Cervus elaphus hanglu","喀什米爾馬鹿","I"
"53",53,"Dama dama mesopotamica","波斯鹿","I"
"54",54,"Hippocamelus spp.","駱鹿屬所有種","I"
"55",55,"Muntiacus crinifrons","黑麂","I"
"56",56,"Muntiacus vuquangensis","越南大麂","I"
"57",57,"Ozotoceros bezoarticus","南美草原鹿","I"
"58",58,"Pudu mephistophiles","北方普度鹿","II"
"59",59,"Pudu puda","智利巴鹿","I"
"60",60,"Rucervus duvaucelii","沼鹿","I"
"61",61,"Rucervus eldii","坡鹿","I"
"62",62,"Rusa unicolor swinhoii%(Synonym : Rusa unicolor swinhoei)","臺灣水鹿","III"
"63",63,"Hexaprotodon liberiensis","侏儒河馬","II"
"64",64,"Hippopotamus amphibious","河馬","II"
"65",65,"Moschus spp.","麝鹿屬所有種","II"
"66",66,"Babyrousa babyrussa","西里伯斯鹿豚","I"
"67",67,"Babyrousa bolabatuensis","伯拉貝塔鹿豚","I"
"68",68,"Babyrousa celebensis","北方蘇來威斯鹿豚","I"
"69",69,"Babyrousa togeanensis","馬倫蓋鹿豚","I"
"70",70,"Sus salvanius","姬豬","I"
"71",71,"Tayassuidae spp.(Except the species included in Endangered Species)","<U+732F>豬科所有種(瀕臨絕種物種除外)","II"
"72",72,"Catagonus wagneri","<U+732F>豬","I"
"73",73,"Ailurus fulgens","小貓熊","I"
"74",74,"Canis lupus","狼","II"
"75",75,"Cerdocyon thous","食蟹狐","II"
"76",76,"Chrysocyon brachyurus","鬃狼","II"
"77",77,"Cuon alpinus","亞洲豺犬","II"
"78",78,"Lycalopex culpaeus","寇巴俄狐","II"
"79",79,"Lycalopex fulvipes","達爾文狐","II"
"80",80,"Lycalopex griseus","阿根廷灰狐","II"
"81",81,"Lycalopex gymnocercus","巴拉圭狐","II"
"82",82,"Speothos venaticus","叢林犬","I"
"83",83,"Vulpes cana","阿富汗狐","II"
"84",84,"Vulpes zerda","耳郭狐","II"
"85",85,"Cryptoprocta ferox","馬島長尾狸貓","II"
"86",86,"Eupleres goudotii","小齒<U+7374>","II"
"87",87,"Fossa fossana","馬島麝貓","II"
"88",88,"Felidae spp.(Except the species included in Endangered Species, and the domesticated form, which is referenced as Felis catus)","貓科所有種(瀕臨絕種物種及家貓除外)","II"
"89",89,"Acinonyx jubatus","獵豹","I"
"90",90,"Catopuma temminckii","譚氏金貓","I"
"91",91,"Felis nigripes","黑足貓","I"
"92",92,"Leopardus geoffroyi","喬氏貓","I"
"93",93,"Leopardus jacobitus","安地斯山貓","I"
"94",94,"Leopardus pardalis","美洲豹貓","I"
"95",95,"Leopardus tigrinus","虎貓","I"
"96",96,"Leopardus wiedii","長尾虎貓","I"
"97",97,"Lynx pardinus","林<U+72AD>曳","I"
"98",98,"Neofelis nebulosa","雲豹","I"
"99",99,"Neofelis nebulosa brachyura","臺灣雲豹","I"
"100",100,"Panthera leo persica","亞洲獅","I"
"101",101,"Panthera onca","美洲豹","I"
"102",102,"Panthera pardus","花豹","I"
"103",103,"Panthera tigris","虎","I"
"104",104,"Pardofelis marmorata","紋貓","I"
"105",105,"Prionailurus bengalensis euptilurus (Synonym : Prionailurus bengalensis chinensis)","石虎","I"
"106",106,"Prionailurus planiceps","扁頭貓","I"
"107",107,"Puma concolor coryi","佛羅里達山獅","II"
"108",108,"Puma concolor costaricensis","哥斯大黎加山獅","I"
"109",109,"Puma concolor couguar","北美山獅","II"
"110",110,"Puma yagouaroundi","南美金貓","I"
"111",111,"Uncia uncia","雪豹","I"
"112",112,"Herpestes urva","棕簑貓(食蟹<U+7374>)","III"
"113",113,"Conepatus humboldtii","阿根廷臭鼬","II"
"114",114,"Lutrinae spp.%(Include Aonyx spp., Enhydra spp., Hydrictis spp., Lontra spp., Lutra spp., Lutrogale spp., Pteronura spp.. Except the species included in marine ecosystem and Endangered Species)","水獺亞科所有種(此亞科包含無爪水獺屬Aonyx spp.、海獺屬Enhydra spp.、斑頸水獺屬Hydrictis spp.、美洲水獺屬Lontra spp.、水獺屬Lutra spp.、印度水獺屬Lutrogale spp.、大水獺屬Pteronura spp.等七屬所有種；海洋生態系物種與瀕臨絕種物種除外)","II"
"115",115,"Aonyx capensis microdon","剛果無爪水獺","I"
"116",116,"Lontra longicaudis","南美水獺","I"
"117",117,"Lontra provocax","智利水獺","I"
"118",118,"Lutra lutra","歐亞水獺","I"
"119",119,"Lutra lutra chinensis","水獺","I"
"120",120,"Lutra nippon","日本水獺","I"
"121",121,"Pteronura brasiliensis","大水獺","I"
"122",122,"Martes flavigula","黃喉貂","III"
"123",123,"Mustela nivalis formosana%(Synonym : Mustela formosanus)","臺灣小黃鼠狼","III"
"124",124,"Mustela nigripes","黑足雪貂","I"
"125",125,"Ursidae spp.(Except the species included in Endangered Species)","熊科所有種(瀕臨絕種物種除外)","II"
"126",126,"Ailuropoda melanoleuca","大貓熊","I"
"127",127,"Helarctos malayanus","馬來熊","I"
"128",128,"Melursus ursinus","懶熊","I"
"129",129,"Tremarctos ornatus","眼鏡熊","I"
"130",130,"Ursus arctos isabellinus","喜馬拉亞熊","I"
"131",131,"Ursus thibetanus","亞洲黑熊","I"
"132",132,"Ursus thibetanus formosanus","臺灣黑熊","I"
"133",133,"Cynogale bennettii","獺狸貓","II"
"134",134,"Hemigalus derbyanus","橫帶狸貓","II"
"135",135,"Prionodon linsang","條紋靈貓","II"
"136",136,"Prionodon pardicolor","東方蓑貓","I"
"137",137,"Viverricula indica","麝香貓","II"
"138",138,"Coelops frithii","無尾葉鼻蝠","II"
"139",139,"Acerodon spp.(Except the species included in Endangered Species)","果蝠屬所有種(瀕臨絕種物種除外)","II"
"140",140,"Acerodon jubatus","菲律賓果蝠","I"
"141",141,"Pteropus spp.(Except the species included in Endangered Species)","狐蝠屬所有種(瀕臨絕種物種除外)","II"
"142",142,"Pteropus dasymallus formosus","臺灣狐蝠","I"
"143",143,"Pteropus insularis","白胸狐蝠","I"
"144",144,"Pteropus loochoensis","沖繩狐蝠","I"
"145",145,"Pteropus mariannus","瑪利安娜狐蝠","I"
"146",146,"Pteropus molossinus","西太平洋卡洛島狐蝠","I"
"147",147,"Pteropus pelewensis","帛琉狐蝠","I"
"148",148,"Pteropus pilosus","帛琉果蝠","I"
"149",149,"Pteropus samoensis","南太平洋沙曼亞島狐蝠","I"
"150",150,"Pteropus tonganus","東加狐蝠","I"
"151",151,"Pteropus ualanus","科斯拉伊狐蝠","I"
"152",152,"Pteropus yapensis","雅浦島狐蝠","I"
"153",153,"Chaetophractus nationi","多毛犰狳","II"
"154",154,"Priodontes maximus","大犰狳","I"
"155",155,"Sminthopsis longicaudata","長尾袋鼩","I"
"156",156,"Sminthopsis psammophila","沙漠袋鼩","I"
"157",157,"Dendrolagus inustus","灰樹袋鼠","II"
"158",158,"Dendrolagus ursinus","黑樹袋鼠","II"
"159",159,"Lagorchestes hirsutus","西部兔袋鼠","I"
"160",160,"Lagostrophus fasciatus","條紋兔袋鼠","I"
"161",161,"Onychogalea fraenata","尖尾兔袋鼠","I"
"162",162,"Phalanger intercastellanus","東方袋貂","II"
"163",163,"Phalanger mimicus","隱斑袋貂","II"
"164",164,"Phalanger orientalis","灰袋貂","II"
"165",165,"Spilocuscus kraemeri","金鐘島袋貂","II"
"166",166,"Spilocuscus maculatus","短尾斑袋貂","II"
"167",167,"Spilocuscus papuensis","衛古島袋貂","II"
"168",168,"Bettongia spp.","草原袋鼠屬所有種","I"
"169",169,"Lasiorhinus krefftii","澳洲毛鼻袋熊","I"
"170",170,"Caprolagus hispidus","阿薩密兔","I"
"171",171,"Romerolagus diazi","墨西哥兔","I"
"172",172,"Zaglossus spp.","長吻針鼴屬所有種","II"
"173",173,"Perameles bougainville","條紋袋狸","I"
"174",174,"Macrotis lagotis","兔形袋狸","I"
"175",175,"Equus africanus%(Excludes the domesticated form, which is referenced as Equus asinus)","非洲野驢(家畜型除外)","I"
"176",176,"Equus grevyi","格利威斑馬","I"
"177",177,"Equus hemionus%(Except the subspecies included in Endangered Species)","亞洲野驢(瀕臨絕種之亞種除外)","II"
"178",178,"Equus hemionus hemionus","蒙古野驢","I"
"179",179,"Equus hemionus khur","印度野驢","I"
"180",180,"Equus kiang","西藏野驢","II"
"181",181,"Equus przewalskii(Excludes the domesticated form, which is referenced as Equus caballus)","蒙古野馬(家畜型除外)","I"
"182",182,"Equus zebra hartmannae","哈特曼山斑馬","II"
"183",183,"Equus zebra zebra","南非山斑馬","II"
"184",184,"Rhinocerotidae spp.","犀牛科所有種","I"
"185",185,"Tapiridae spp.%(Except the species included in Rare and Valuable Species)","貘科所有種(珍貴稀有物種除外)","I"
"186",186,"Tapirus terrestris","巴西貘","II"
"187",187,"Manis spp. (Except Manis pentadactyla pentadactyla)","穿山甲屬所有種(臺灣穿山甲除外)","I"
"188",188,"Manis pentadactyla pentadactyla","臺灣穿山甲(中國鯪鯉)","II"
"189",189,"Bradypus pygmaeus","侏儒三指樹獺","II"
"190",190,"Bradypus variegatus","玻利維亞樹獺","II"
"191",191,"Myrmecophaga tridactyla","大食蟻獸","II"
"192",192,"PRIMATES spp.%(Except the species included in Endangered Species and Macaca cyclopis)","靈長目所有種(瀕臨絕種及臺灣獼猴除外)","II"
"193",193,"Alouatta coibensis","長毛吼猴","I"
"194",194,"Alouatta palliate","鬃毛吼猴","I"
"195",195,"Alouatta pigra","紅面吼猴","I"
"196",196,"Ateles geoffroyi frontatus","黑額蜘蛛猴","I"
"197",197,"Ateles geoffroyi panamensis","巴拿馬蜘蛛猴","I"
"198",198,"Brachyteles arachnoides","捲毛蜘蛛猴","I"
"199",199,"Brachyteles hypoxanthus","北方絨毛蛛猴","I"
"200",200,"Oreonax flavicauda","山地絨毛猴","I"
"201",201,"Callimico goeldii","猴狨","I"
"202",202,"Callithrix aurita","白耳狨","I"
"203",203,"Callithrix flaviceps","黃頭狨","I"
"204",204,"Leontopithecus spp.","獅狨屬所有種","I"
"205",205,"Saguinus bicolor","雙色獠狨","I"
"206",206,"Saguinus geoffroyi","棉冠獠狨","I"
"207",207,"Saguinus leucopus","白腳獠狨","I"
"208",208,"Saguinus martinsi","馬氏檉柳猴","I"
"209",209,"Saguinus Oedipus","棉頂狨","I"
"210",210,"Saimiri oerstedii","紅背松鼠猴","I"
"211",211,"Cercocebus galeritus","塔那河長尾猴","I"
"212",212,"Cercopithecus diana","黛安娜鬚猴","I"
"213",213,"Cercopithecus roloway","羅洛威鬚猴","I"
"214",214,"Macaca silenus","獅尾獼猴","I"
"215",215,"Macaca sylvanus","巴巴利獼猴","I"
"216",216,"Mandrillus leucophaeus","鬼狒","I"
"217",217,"Mandrillus sphinx","山魈","I"
"218",218,"Nasalis larvatus","長鼻猴","I"
"219",219,"Piliocolobus kirkii","桑吉巴紅疣猴","I"
"220",220,"Piliocolobus rufomitratus","塔那河紅疣猴","I"
"221",221,"Presbytis potenziani","白頰葉猴","I"
"222",222,"Pygathrix spp.","海南葉猴屬所有種","I"
"223",223,"Rhinopithecus spp.","金絲猴屬所有種","I"
"224",224,"Semnopithecus ajax","喀什米爾灰葉猴","I"
"225",225,"Semnopithecus dussumieri","南部平原灰葉猴","I"
"226",226,"Semnopithecus entellus","印度葉猴","I"
"227",227,"Semnopithecus hector","達頓灰葉猴","I"
"228",228,"Semnopithecus hypoleucos","黑足灰葉猴","I"
"229",229,"Semnopithecus priam","毛冠灰葉猴","I"
"230",230,"Semnopithecus schistaceus","喜山長尾葉猴","I"
"231",231,"Simias concolor","豬尾葉猴","I"
"232",232,"Trachypithecus geei","黃冠葉猴","I"
"233",233,"Trachypithecus pileatus","冠葉猴","I"
"234",234,"Trachypithecus shortridgei","邵力殊葉猴","I"
"235",235,"Cheirogaleidae spp.","侏儒狐猴科所有種","I"
"236",236,"Daubentonia madagascariensis","指猴","I"
"237",237,"Gorilla beringei","山地大猩猩","I"
"238",238,"Gorilla gorilla","大猩猩","I"
"239",239,"Pan spp.","黑猩猩屬所有種","I"
"240",240,"Pongo abelii","蘇門答臘猩猩","I"
"241",241,"Pongo pygmaeus","紅毛猩猩","I"
"242",242,"Hylobatidae spp.","長臂猿科所有種","I"
"243",243,"Indriidae spp.","光面狐猴科所有種","I"
"244",244,"Lemuridae spp.","狐猴科所有種","I"
"245",245,"Lepilemuridae spp.","鼬狐猴科所有種","I"
"246",246,"Nycticebus spp.","懶猴屬所有種","I"
"247",247,"Cacajao spp.","禿猴屬所有種","I"
"248",248,"Chiropotes albinasus","白鼻狐尾猴","I"
"249",249,"Elephas maximus","亞洲象","I"
"250",250,"Loxodonta africana","非洲象","I"
"251",251,"Chinchilla spp. (Excludes the domesticated form)","栗鼠屬所有種(馴養型除外)","I"
"252",252,"Leporillus conditor","巢鼠","I"
"253",253,"Pseudomys fieldi%(Synonym : Pseudomys fieldi praeconis)","鯊灣擬鼠","I"
"254",254,"Xeromys myoides","偽沼鼠","I"
"255",255,"Zyzomys pedunculatus","中澳粗尾鼠","I"
"256",256,"Cynomys mexicanus","墨西哥草原松鼠","I"
"257",257,"Ratufa spp.","大松鼠屬所有種","II"
"258",258,"SCANDENTIA spp.","樹鼩目所有種","II"
"259",259,"Chimarrogale himalayica","水鼩","II"
"260",260,"Aix galericulata","鴛鴦","II"
"261",261,"Anas aucklandica","奧克蘭鴨","I"
"262",262,"Anas bernieri","馬島麻斑鴨","II"
"263",263,"Anas chlorotis","紐西蘭棕鴨","I"
"264",264,"Anas formosa","花臉鴨(巴鴨)","II"
"265",265,"Anas laysanensis","雷仙島鴨","I"
"266",266,"Anas nesiotis","坎貝爾鴨","I"
"267",267,"Asarcornis scutulata%(Synonym : Cairina scutulata)","白翅棲鴨","I"
"268",268,"Aythya baeri","青頭潛鴨","II"
"269",269,"Branta canadensis leucopareia","阿留申黑頰黑雁","I"
"270",270,"Branta ruficollis","紅胸黑雁","II"
"271",271,"Branta sandvicensis","黃額黃雁","I"
"272",272,"Coscoroba coscoroba","扁嘴鵝","II"
"273",273,"Cygnus melancoryphus","黑頸天鵝","II"
"274",274,"Dendrocygna arborea","黑嘴樹鴨","II"
"275",275,"Oxyura leucocephala","白頭硬尾鴨","II"
"276",276,"Rhodonessa caryophyllacea%(possibly extinct)","粉頭鴨(可能已滅絕)","I"
"277",277,"Sarkidiornis melanotos","瘤鴨","II"
"278",278,"Trochilidae spp.(Except the species included in Endangered Species)","蜂鳥科所有種(瀕臨絕種物種除外)","II"
