"","Scientific.name_TBN","Scientific.name_PSL","Chinese.common.name_PSL","prtected_status","Version","tp_tid","taibnet_namecode","uuid","protect.species.list.number","rank","X","X.1","X.2"
"1","Capricornis swinhoei","Capricornis swinhoei","臺灣野山羊(臺灣長鬃山羊)","III","v1080109",416105,416105,"c6b50b1a-8e3b-4729-ba20-73faaf3d9250",15,"species",NA,NA,NA
"2","Neofelis nebulosa","Neofelis nebulosa","雲豹","I","v1080109",1024882,NA,"dbf5e038-f9e6-4101-93db-baa7ad072d50",98,"species",NA,NA,NA
"3","Herpestes urva","Herpestes urva","棕簑貓(食蟹?)","III","v1080109",1024484,NA,"46159f00-98da-44c4-9d8a-c4876c7b2f1d",112,"species",NA,NA,NA
"4","Lutra lutra","Lutra lutra","歐亞水獺","I","v1080109",1024697,NA,"f8947246-6152-439c-9a67-a6b1422941b4",118,"species",NA,NA,NA
"5","Martes flavigula","Martes flavigula","黃喉貂","III","v1080109",1024735,NA,"53c48060-9365-4028-92bb-cc8245f59881",122,"species",NA,NA,NA
"6","Ursus thibetanus","Ursus thibetanus","亞洲黑熊","I","v1080109",1025759,NA,"87d49346-7297-4c0d-a92e-19179e68e9d8",131,"species",NA,NA,NA
"7","Viverricula indica","Viverricula indica","麝香貓","II","v1080109",1025768,NA,"a9e6148a-e792-4475-bba8-db50bd8759cd",137,"species",NA,NA,NA
"8","Coelops frithii","Coelops frithii","無尾葉鼻蝠","II","v1080109",1023992,NA,"7ec2b401-ca32-42bd-9b5a-63d61823a097",138,"species",NA,NA,NA
"9","Manis pentadactyla pentadactyla","Manis pentadactyla pentadactyla","臺灣穿山甲(中國鯪鯉)","II","v1080109",1024731,NA,"12893a44-eca8-44a1-955f-970705f53bc4",188,"species",NA,NA,NA
"10","Chimarrogale himalayica","Chimarrogale himalayica","水鼩","II","v1080109",380580,380580,"bf3f11ab-ffc4-4d05-a191-ca3f1a8dc493",259,"species",NA,NA,NA
"11","Aix galericulata","Aix galericulata","鴛鴦","II","v1080109",380056,380056,"76ccc3a9-51b0-4cda-9685-f997e722569c",260,"species",NA,NA,NA
"12","Anas formosa","Anas formosa","花臉鴨(巴鴨)","II","v1080109",380062,380062,"91f5fda8-7899-4f78-bb37-e5a2ed2db732",264,"species",NA,NA,NA
"13","Aythya baeri","Aythya baeri","青頭潛鴨","II","v1080109",380074,380074,"88627d2d-13c6-4f89-976e-a31805d01c90",268,"species",NA,NA,NA
"14","Glareola maldivarum","Glareola maldivarum","燕?","III","v1080109",380162,380162,"76f2ea3c-b88e-47ad-9f6c-63ee9c65405f",280,"species",NA,NA,NA
"15","Hydrophasianus chirurgus","Hydrophasianus chirurgus","水雉(雉尾水雉)","II","v1080109",380163,380163,"3ee45f50-97fe-4a84-b1a5-2e6d4d72c041",281,"species",NA,NA,NA
"16","Rostratula benghalensis","Rostratula benghalensis","彩鷸","II","v1080109",420867,420867,"1b04ac59-bdc7-4e72-ae92-ce0f56107787",282,"species",NA,NA,NA
"17","Calidris canutus","Calidris canutus","紅腹濱鷸","III","v1080109",1023790,NA,"c4807bca-e6c0-4dfa-9ae3-3b3050e85a0d",284,"species",NA,NA,NA
"18","Limosa limosa","Limosa limosa","黑尾鷸","III","v1080109",1024659,NA,"ff6050fa-cdd6-4ed1-9fcc-b7669c86a1b5",285,"species",NA,NA,NA
"19","Limnodromus semipalmatus","Limnodromus semipalmatus","半蹼鷸","III","v1080109",380230,380230,"7ed678a8-0a45-462f-a17f-7e33832907be",286,"species",NA,NA,NA
"20","Numenius arquata","Numenius arquata","白腰杓鷸(大杓鷸)","III","v1080109",1024943,NA,"2a1632b8-e6a2-41da-a4ad-786a156068e0",287,"species",NA,NA,NA
"21","Numenius madagascariensis","Numenius madagascariensis","紅腰杓鷸","III","v1080109",380236,380236,"e19c61df-0873-4e22-a25a-bbdfeacd1147",288,"species",NA,NA,NA
"22","Tringa guttifer","Tringa guttifer","諾氏鷸","I","v1080109",380248,380248,"16f7a184-04b2-4511-923a-1a871fabf458",291,"species",NA,NA,NA
"23","Calidris tenuirostris","Calidris tenuirostris","大濱鷸","III","v1080109",380222,380222,"24b2424d-112c-4e12-8ee4-62d827a64693",292,"species",NA,NA,NA
"24","Turnix sylvaticus","Turnix sylvaticus","林三趾鶉","III","v1080109",1025729,NA,"962ba8ec-b2fd-4790-a327-1cbfae41ffba",293,"species",NA,NA,NA
