"scientific_name" "category" "criteria"
"Anhydrophryne rattrayi" "VU" "B1ab(iii)"
"Tsingymantis antitra" "EN" "B1ab(iii)"
"Rhinella manu" "LC" NA
"Chimerella mariaelenae" "LC" NA
"Pristimantis aquilonaris" "LC" NA
"Ctenophryne barbatula" "EN" "B1ab(iii)"
"Mantidactylus noralottae" "DD" NA
"Anodonthyla moramora" "EN" "B1ab(iii)"
"Telmatobius punctatus" "EN" "B1ab(iii,v)"
"Oreobates lehri" "EN" "B1ab(iii)"
"Anodonthyla hutchisoni" "EN" "B1ab(iii)"
"Pristimantis leucorrhinus" "DD" NA
"Boophis baetkei" "CR" "B1ab(iii)"
"Nyctibatrachus dattatreyaensis" "CR" "B1ab(iii)"
"Callulina dawida" "CR" "B2ab(iii)"
"Arthroleptis nguruensis" "VU" "D2"
"Noblella coloma" "DD" NA
"Atelopus chirripoensis" "CR" "D"
"Diasporus ventrimaculatus" "VU" "D2"
"Raorchestes akroparallagi" "LC" NA
"Raorchestes chotta" "DD" NA
"Raorchestes coonoorensis" "LC" NA
"Pseudophilautus kani" "LC" NA
"Raorchestes sushili" "CR" "B1ab(iii)"
"Gracixalus quyeti" "EN" "B1ab(iii)"
"Raorchestes chromasynchysi" "VU" "B1ab(iii)"
"Allobates paleovarzensis" "NT" NA
"Anodonthyla pollicaris" "DD" NA
"Anodonthyla emilei" "EN" "B1ab(iii)"
"Allobates algorei" "LC" NA
"Anomaloglossus confusus" "EN" "B1ab(i,iii)"
"Arthroleptis perreti" "EN" "B1ab(iii)"
"Austrochaperina minutissima" "DD" NA
"Bufo eichwaldi" "VU" "A2bce; B1ab(iii,iv)"
"Cryptotriton sierraminensis" "DD" NA
"Ichthyophis khumhzi" "DD" NA
"Ichthyophis moustakius" "DD" NA
"Ichthyophis sendenyu" "DD" NA
"Limnonectes megastomias" "VU" "B1ab(iii)"
"Odorrana geminata" "VU" "B1ab(iii)"
"Osteocephalus castaneicola" "LC" NA
"Scinax iquitorum" "LC" NA
"Minervarya chilapata" "DD" NA
"Rhaebo andinophrynoides" "VU" "B1ab(iii)"
"Leptolalax applebyi" "EN" "B1ab(iii)"
"Callulina hanseni" "CR" "B1ab(iii)"
"Callulina kanga" "CR" "B1ab(iii)"
"Callulina laphami" "CR" "B1ab(iii)"
"Callulina shengena" "CR" "B1ab(iii)"
"Callulina stanleyi" "CR" "B1ab(iii)"
"Bolitoglossa suchitanensis" "DD" NA
"Pristimantis lassoalcalai" "NT" NA
"Pristimantis rivasi" "EN" "B1ab(iii)"
"Eleutherodactylus diplasius" "EN" "B1ab(iii)"
"Eleutherodactylus notidodes" "EN" "B1ab(iii)"
"Eleutherodactylus paralius" "NT" NA
"Eleutherodactylus sommeri" "EN" "B1ab(iii)"
"Ceuthomantis duellmani" "LC" NA
"Pristimantis bambu" "DD" NA
"Osornophryne cofanorum" "LC" NA
"Ambystoma mavortium" "LC" NA
"Litoria bibonius" "LC" NA
"Litoria flavescens" "LC" NA
"Callulina meteora" "CR" "B1ab(iii)"
"Arthroleptis anotis" "DD" NA
"Nototriton brodiei" "EN" "B1ab(iii)"
"Breviceps macrops" "NT" NA
"Osteopilus vastus" "VU" "B2ab(i,ii,iii)"
"Arthroleptis adolfifriederici" "LC" NA
"Arthroleptis stenodactylus" "LC" NA
"Arthroleptis wahlbergii" "LC" NA
"Barbourula kalimantanensis" "EN" "B1ab(iii)"
"Ansonia penangensis" "LC" NA
"Atelopus laetissimus" "EN" "B1ab(iii)"
"Atelopus nahumae" "EN" "B1ab(iii)"
"Atelopus pulcher" "VU" "B1ab(iii)"
"Vandijkophrynus angusticeps" "LC" NA
"Rhinella arborescandens" "EN" "B1ab(iii)"
"Poyntonophrynus fenoulheti" "LC" NA
"Vandijkophrynus gariepensis" "LC" NA
"Incilius holdridgei" "CR" "D"
"Sclerophrys maculata" "LC" NA
"Vandijkophrynus robinsoni" "LC" NA
"Poyntonophrynus vertebralis" "LC" NA
"Capensibufo tradouwi" "LC" NA
"Sabahphrynus maculatus" "LC" NA
"Schismaderma carens" "LC" NA
"Allobates alessandroi" "EN" "B1ab(iii)"
"Hyloxalus chocoensis" "DD" NA
"Oophaga pumilio" "LC" NA
"Mannophryne olmonae" "VU" "D2"
"Phyllobates lugubris" "LC" NA
"Phyllobates vittatus" "EN" "B1ab(iii)"
"Hadromophryne natalensis" "LC" NA
"Heleophryne orientalis" "LC" NA
"Heleophryne purcelli" "LC" NA
"Heleophryne regis" "LC" NA
"Hemisus guineensis" "LC" NA
"Hemisus marmoratus" "LC" NA
"Agalychnis annae" "EN" "B1ab(iii)"
"Duellmanohyla lythrodes" "EN" "B1ab(iii)"
"Duellmanohyla uranochroa" "EN" "D"
"Gastrotheca ruizi" "NT" NA
"Hyloscirtus colymba" "NT" NA
"Isthmohyla graceae" "CR" "D"
"Hypsiboas heilprini" "VU" "B2ab(i,ii,iii)"
"Isthmohyla tica" "CR" "D"
"Osteopilus ocellatus" "LC" NA
"Osteopilus pulchrilineatus" "VU" "B2ab(i,ii,iii)"
"Ptychohyla legleri" "EN" "B1ab(iii)"
"Afrixalus delicatus" "LC" NA
"Afrixalus fornasini" "LC" NA
"Afrixalus stuhlmanni" "LC" NA
"Hyperolius argus" "LC" NA
"Hyperolius marmoratus" "LC" NA
"Hyperolius pusillus" "LC" NA
"Hyperolius semidiscus" "LC" NA
"Hyperolius tuberilinguis" "LC" NA
"Kassina maculata" "LC" NA
"Kassina senegalensis" "LC" NA
"Leptopelis karissimbensis" "VU" "B1ab(iii)"
"Leptopelis kivuensis" "LC" NA
"Leptopelis mossambicus" "LC" NA
"Leptopelis natalensis" "LC" NA
"Leptopelis parkeri" "EN" "B1ab(iii)"
"Leptopelis vermiculatus" "EN" "B1ab(iii)"
"Semnodactylus wealii" "LC" NA
"Eleutherodactylus alcoae" "EN" "B1ab(iii)"
"Eleutherodactylus alticola" "DD" NA
"Eleutherodactylus armstrongi" "EN" "B1ab(iii)"
"Pristimantis avicuporum" "LC" NA
"Craugastor bransfordii" "LC" NA
"Pristimantis charlottevillensis" "LC" NA
"Eleutherodactylus cundalli" "NT" NA
"Diasporus diastema" "LC" NA
"Craugastor fleischmanni" "CR" "D"
"Craugastor gulosus" "CR" "D"
"Pristimantis medemi" "LC" NA
"Craugastor noblei" "LC" NA
"Craugastor obesus" "CR" "D"
"Pristimantis taeniatus" "LC" NA
"Diasporus vocator" "LC" NA
"Oreobates saxatilis" "LC" NA
"Leptodactylus fallax" "CR" "A2ace; C2a(i)"
"Leptodactylus labrosus" "LC" NA
"Leptodactylus pascoensis" "DD" NA
"Ctenophryne carpish" "EN" "B1ab(iii)"
"Oreobates pereger" "EN" "B1ab(iii)"
"Psychrophrynella usurpator" "NT" NA
"Telmatobius brevipes" "VU" "B1ab(iii)"
"Telmatobius brevirostris" "EN" "B1ab(iii,v)"
"Telmatobius carrillae" "VU" "B1ab(iii,v)"
"Telmatobius degener" "DD" NA
"Telmatobius hockingi" "DD" NA
