"","auto_id","Scientific.name_TBNinfra","Scientific.name_RLinfra","Chinese.common.name_RL","category_TWRL","Version","criteria_TWRL","taxon_group_TWRL","name_code_TWRL","taxon_rank_TWRL","tp_tid_infra","ra_tid_infra","taibnet_namecode_infra","uuid_infra","rank_infra","Scientific.name_TBN","Scientific.name_RL","tp_tid_species","ra_tid_species","taibnet_namecode_species","uuid_species","rank_species"
"1",1,"Hynobius glacialis","Hynobius glacialis","南湖山椒魚","NCR","v1080131","B1ab(iii)","amphibian","413088","species",413088,413088,413088,"9610bea3-8a90-417e-9948-2fabb701fd7f","species","Hynobius glacialis","Hynobius glacialis",413088,413088,413088,"9610bea3-8a90-417e-9948-2fabb701fd7f","species"
"2",2,"Babina okinavana","Babina okinavana","豎琴蛙","NCR","v1080131","B1ab(iii)","amphibian","416138","species",416138,416138,416138,"127088ed-624d-415b-805b-42af0057f031","species","Babina okinavana","Babina okinavana",416138,416138,416138,"127088ed-624d-415b-805b-42af0057f031","species"
"3",3,"Hynobius formosanus","Hynobius formosanus","臺灣山椒魚","NEN","v1080131","B1ab(iii)","amphibian","380054","species",380054,380054,380054,"53f81e9d-d079-42a1-a9f1-6fa6e96eaa52","species","Hynobius formosanus","Hynobius formosanus",380054,380054,380054,"53f81e9d-d079-42a1-a9f1-6fa6e96eaa52","species"
"4",4,"Hynobius fuca","Hynobius fuca","觀霧山椒魚","NEN","v1080131","B1ab(ii,iii)","amphibian","413087","species",413087,413087,413087,"e8a89a66-cc57-454f-84ba-2cde6ac5fbd3","species","Hynobius fuca","Hynobius fuca",413087,413087,413087,"e8a89a66-cc57-454f-84ba-2cde6ac5fbd3","species"
"5",5,"Hynobius sonani","Hynobius sonani","楚南氏山椒魚","NEN","v1080131","B1ab(iii)","amphibian","380055","species",380055,380055,380055,"9ef5200b-f94b-4a6b-bdc8-e8a6ba6a548b","species","Hynobius sonani","Hynobius sonani",380055,380055,380055,"9ef5200b-f94b-4a6b-bdc8-e8a6ba6a548b","species"
"6",6,"Hylarana taipehensis","Hylarana taipehensis","臺北赤蛙","NEN","v1080131","B2ab(ii,iii,iv)c(ii,iii)","amphibian","416658","species",416658,416658,416658,"2457ec2f-57ac-496f-b072-e0a310d77226","species","Hylarana taipehensis","Hylarana taipehensis",416658,416658,416658,"2457ec2f-57ac-496f-b072-e0a310d77226","species"
"7",7,"Rhacophorus arvalis","Rhacophorus arvalis","諸羅樹蛙","NEN","v1080131","B1ab(i,iii,iv)c(iii)","amphibian","380048","species",380048,380048,380048,"24ac63cf-dc3f-4431-a176-1f9225c6a56a","species","Rhacophorus arvalis","Rhacophorus arvalis",380048,380048,380048,"24ac63cf-dc3f-4431-a176-1f9225c6a56a","species"
"8",8,"Rhacophorus aurantiventris","Rhacophorus aurantiventris","橙腹樹蛙","NEN","v1080131","B2ab(iii)","amphibian","380049","species",380049,380049,380049,"ea348cf4-0ae6-4eec-8556-5084d658982e","species","Rhacophorus aurantiventris","Rhacophorus aurantiventris",380049,380049,380049,"ea348cf4-0ae6-4eec-8556-5084d658982e","species"
"9",9,"Hynobius arisanensis","Hynobius arisanensis","阿里山山椒魚","NVU","v1080131","B2ab(iii)","amphibian","380053","species",380053,380053,380053,"00a2f8fd-ff08-4b5f-8d37-0880e7320587","species","Hynobius arisanensis","Hynobius arisanensis",380053,380053,380053,"00a2f8fd-ff08-4b5f-8d37-0880e7320587","species"
"10",10,"Micryletta steinegeri","Micryletta steinegeri","史丹吉氏小雨蛙","NVU","v1080131","B1b(i,iii)c(iii)","amphibian","380028","species",380028,380028,380028,"a4c36a54-1c37-402d-93c2-a3f276bf8f4d","species","Micryletta steinegeri","Micryletta steinegeri",380028,380028,380028,"a4c36a54-1c37-402d-93c2-a3f276bf8f4d","species"
"11",11,"Rhacophorus taipeianus","Rhacophorus taipeianus","臺北樹蛙","NVU","v1080131","B1ab(i)","amphibian","380052","species",380052,380052,380052,"3a7000ea-cb36-4995-8d90-7dcd37c51a34","species","Rhacophorus taipeianus","Rhacophorus taipeianus",380052,380052,380052,"3a7000ea-cb36-4995-8d90-7dcd37c51a34","species"
"12",12,"Pelophylax fukienensis","Pelophylax fukienensis","福建金線蛙","NNT","v1080131"," ","amphibian","418420","species",418420,418420,418420,"631a9f03-306f-4a24-b947-f20244505f4f","species","Pelophylax fukienensis","Pelophylax fukienensis",418420,418420,418420,"631a9f03-306f-4a24-b947-f20244505f4f","species"
"13",13,"Rana longicrus","Rana longicrus","長腳赤蛙","NNT","v1080131"," ","amphibian","380035","species",380035,380035,380035,"adde0a74-1e78-4b42-9a22-62f2f444852e","species","Rana longicrus","Rana longicrus",380035,380035,380035,"adde0a74-1e78-4b42-9a22-62f2f444852e","species"
"14",14,"Rhacophorus prasinatus","Rhacophorus prasinatus","翡翠樹蛙","NNT","v1080131"," ","amphibian","380051","species",380051,380051,380051,"8ce5f221-61ad-4e5d-a084-5084d8c9b055","species","Rhacophorus prasinatus","Rhacophorus prasinatus",380051,380051,380051,"8ce5f221-61ad-4e5d-a084-5084d8c9b055","species"
"15",15,"Bufo bankorensis","Bufo bankorensis","盤古蟾蜍","NLC","v1080131"," ","amphibian","380021","species",380021,380021,380021,"bf6a3e58-a8a5-4c76-9658-81a672faea92","species","Bufo bankorensis","Bufo bankorensis",380021,380021,380021,"bf6a3e58-a8a5-4c76-9658-81a672faea92","species"
"16",16,"Duttaphrynus melanostictus","Duttaphrynus melanostictus","黑眶蟾蜍","NLC","v1080131"," ","amphibian","416157","species",416157,416157,416157,"54754afb-b5c8-4849-8405-4e74f1c936cb","species","Duttaphrynus melanostictus","Duttaphrynus melanostictus",416157,416157,416157,"54754afb-b5c8-4849-8405-4e74f1c936cb","species"
"17",17,"Fejervarya kawamurai","Fejervarya limnocharis","澤蛙","NLC","v1080131"," ","amphibian","432833","species",380034,380034,380034,"9fd8a640-b420-4e46-8073-f6865124c318","species","Fejervarya kawamurai","Fejervarya limnocharis",380034,380034,380034,"9fd8a640-b420-4e46-8073-f6865124c318","species"
"18",18,"Hoplobatrachus rugulosus","Hoplobatrachus rugulosus","虎皮蛙","NLC","v1080131"," ","amphibian","416160","species",416160,416160,416160,"255b6444-4f05-4faf-9011-b35215176e0c","species","Hoplobatrachus rugulosus","Hoplobatrachus rugulosus",416160,416160,416160,"255b6444-4f05-4faf-9011-b35215176e0c","species"
"19",19,"Limnonectes fujianensis","Limnonectes fujianensis","福建大頭蛙","NLC","v1080131"," ","amphibian","380032","species",380032,380032,380032,"4e683882-5eee-4650-869c-daf7328a1f06","species","Limnonectes fujianensis","Limnonectes fujianensis",380032,380032,380032,"4e683882-5eee-4650-869c-daf7328a1f06","species"
"20",20,"Hyla chinensis","Hyla chinensis","中國樹蟾","NLC","v1080131"," ","amphibian","380023","species",380023,380023,380023,"9863c62f-c8f6-43a5-a337-59c2c028d804","species","Hyla chinensis","Hyla chinensis",380023,380023,380023,"9863c62f-c8f6-43a5-a337-59c2c028d804","species"
"21",21,"Microhyla fissipes","Microhyla fissipes","小雨蛙","NLC","v1080131"," ","amphibian","416174","species",416174,416174,416174,"4d6b83ff-b8c9-43a5-af53-08016a57f045","species","Microhyla fissipes","Microhyla fissipes",416174,416174,416174,"4d6b83ff-b8c9-43a5-af53-08016a57f045","species"
"22",22,"Microhyla heymonsi","Microhyla heymonsi","黑蒙西氏小雨蛙","NLC","v1080131"," ","amphibian","380026","species",380026,380026,380026,"4439fe56-3d21-4c64-a2ef-bdb93008ea6e","species","Microhyla heymonsi","Microhyla heymonsi",380026,380026,380026,"4439fe56-3d21-4c64-a2ef-bdb93008ea6e","species"
