"Protected species list number" "Scientific name" "note" "rank" "Chinese common name" "note_chinese" "Protected Species category"
1 "Antilocapra americana" "Only the population of Mexico; no other population is included in this list" "species" "北美叉角羚" "僅墨西哥族群" "I"
2 "Addax nasomaculatus" NA "species" "弓角羚羊" NA "I"
3 "Ammotragus lervia" NA "species" "髯羊" NA "II"
4 "Bos gaurus" "Excludes the domesticated form, which is referenced as Bos frontalis" "species" "牛曷牛" "家畜型除外" "I"
5 "Bos mutus" "Excludes the domesticated form, which is referenced as Bos grunniens" "species" "犛牛" "家畜型除外" "I"
6 "Bos sauveli" NA "species" "考布利牛" NA "I"
7 "Bubalus depressicornis" NA "species" "矮水牛" NA "I"
8 "Bubalus mindorensis" NA "species" "菲律賓水牛" NA "I"
9 "Bubalus quarlesi" NA "species" "山地矮野水牛" NA "I"
10 "Budorcas taxicolor" NA "species" "扭角羚" NA "II"
11 "Capra falconeri" NA "species" "螺角山羊" NA "I"
12 "Capricornis milneedwardsii" NA "species" "中華鬣羚" NA "I"
13 "Capricornis rubidus" NA "species" "紅鬣羚" NA "I"
14 "Capricornis sumatraensis" NA "species" "蘇門達臘鬣羚" NA "I"
15 "Capricornis swinhoei" NA "species" "臺灣野山羊" "臺灣長鬃山羊" "III"
16 "Capricornis thar" NA "species" "喜馬拉雅鬣羚" NA "I"
17 "Cephalophus brookei" NA "species" "布魯克遁羚" NA "II"
18 "Cephalophus dorsalis" NA "species" "海灣遁羚" NA "II"
19 "Cephalophus jentinki" NA "species" "珍氏遁羚" NA "I"
20 "Cephalophus ogilbyi" NA "species" "奧吉碧遁羚" NA "II"
21 "Cephalophus silvicultor" NA "species" "黃背遁羚" NA "II"
22 "Cephalophus zebra" NA "species" "斑紋遁羚" NA "II"
23 "Damaliscus pygargus pygargus" NA "infraspecies" "白臀白面狷羚" NA "II"
24 "Gazella cuvieri" NA "species" "奎氏瞪羚" NA "I"
25 "Gazella leptoceros" NA "species" "細角瞪羚" NA "I"
26 "Hippotragus niger variani" NA "infraspecies" "馬羚" NA "I"
27 "Kobus leche" NA "species" "紅水羚" NA "II"
28 "Naemorhedus baileyi" NA "species" "紅山羚" NA "I"
29 "Naemorhedus caudatus" NA "species" "華北山羚" NA "I"
30 "Naemorhedus goral" NA "species" "喀什米爾山羚" NA "I"
31 "Naemorhedus griseus" NA "species" "華南山羚" NA "I"
32 "Nanger dama" NA "species" "鹿羚" NA "I"
33 "Oryx dammah" NA "species" "彎角羚" NA "I"
34 "Oryx leucoryx" NA "species" "阿拉伯羚" NA "I"
35 "Ovis ammon" NA "species" "盤羊" NA "II"
36 "Ovis canadensis" "Only the population of Mexico; no other population is included in this list" "species" "大角羊" "僅墨西哥族群" "II"
37 "Ovis aries ophion" "Synonym : Ovis orientalis ophion" "infraspecies" "塞普路斯赤羊" NA "I"
38 "Ovis aries vignei" "Synonym : Ovis vignei" "infraspecies" "沙寶赤羊" NA "II"
39 "Pantholops hodgsonii" NA "species" "藏羚" NA "I"
40 "Philantomba monticola" NA "species" "藍遁羚" NA "II"
41 "Pseudoryx nghetinhensis" NA "species" "武廣牛" NA "I"
42 "Rupicapra pyrenaica ornate" NA "infraspecies" "阿伯魯玆雪米羚" NA "II"
43 "Saiga borealis" NA "species" "蒙古賽加羚羊" NA "II"
44 "Saiga tatarica" NA "species" "大鼻羚" NA "II"
45 "Lama guanicoe" NA "species" "原駝" NA "II"
46 "Vicugna vicugna" NA "species" "南美駝馬" NA "II"
47 "Axis calamianensis" NA "species" "喀拉米豚鹿" NA "I"
48 "Axis kuhlii" NA "species" "印度豚鹿" NA "I"
49 "Axis porcinus annamiticus" NA "infraspecies" "恆河豚鹿" NA "I"
50 "Blastocerus dichotomus" NA "species" "沼澤鹿" NA "I"
51 "Cervus elaphus bactrianus" NA "infraspecies" "中亞紅鹿" NA "II"
52 "Cervus elaphus hanglu" NA "infraspecies" "喀什米爾馬鹿" NA "I"
53 "Dama dama mesopotamica" NA "infraspecies" "波斯鹿" NA "I"
54 "Hippocamelus spp." NA "genus" "駱鹿屬所有種" NA "I"
55 "Muntiacus crinifrons" NA "species" "黑麂" NA "I"
56 "Muntiacus vuquangensis" NA "species" "越南大麂" NA "I"
57 "Ozotoceros bezoarticus" NA "species" "南美草原鹿" NA "I"
58 "Pudu mephistophiles" NA "species" "北方普度鹿" NA "II"
59 "Pudu puda" NA "species" "智利巴鹿" NA "I"
60 "Rucervus duvaucelii" NA "species" "沼鹿" NA "I"
61 "Rucervus eldii" NA "species" "坡鹿" NA "I"
