"","tp_tid","ra_tid","taibnet_namecode","uuid","rank","class","class_c","order","order_c","family","family_c","genus","genus_c","name","name_c","is_endemic","is_alien","is_protected"
"1",380001,380001,380001,"12c1c20e-89a0-48d5-aec6-31e3c1120e77","species","Amphioxichthyes","文昌魚綱","Amphioxiformes","文昌魚目","Branchiostomatidae","文昌魚科","Branchiostoma","鰓口文昌魚屬","Branchiostoma belcheri","白氏鰓口文昌魚","","",""
"2",380002,380002,380002,"a6c6de77-9be9-40cb-83ab-06311fa3c8da","species","Amphioxichthyes","文昌魚綱","Amphioxiformes","文昌魚目","Branchiostomatidae","文昌魚科","Epigonichthys","側殖文昌魚屬","Epigonichthys cultellus","短刀側殖文昌魚","","",""
"3",380003,380003,380003,"af4462bc-f253-4a05-9893-b4522866dac3","species","Amphioxichthyes","文昌魚綱","Amphioxiformes","文昌魚目","Branchiostomatidae","文昌魚科","Epigonichthys","側殖文昌魚屬","Epigonichthys lucayanus","魯卡側殖文昌魚","","",""
"4",380004,380004,380004,"3f37c9c8-82aa-43e0-9bc0-c453fb9e34fe","species","Amphioxichthyes","文昌魚綱","Amphioxiformes","文昌魚目","Branchiostomatidae","文昌魚科","Epigonichthys","側殖文昌魚屬","Epigonichthys maldivensis","馬爾地夫側殖文昌魚","","",""
"5",380005,380005,380005,"d811e7ba-4192-4787-a044-5e985b0b5681","species","Thaliacea","海樽綱","Doliolida","海樽目","Doliolidae","海樽科","Dolioletta","","Dolioletta gegenbauri","","","",""
"6",380006,380006,380006,"45778be5-bda7-4a6e-8ec2-b4a71a7327ec","species","Thaliacea","海樽綱","Doliolida","海樽目","Doliolidae","海樽科","Doliolina","海樽屬","Doliolina mulleri","","","",""
"7",380007,380007,380007,"972b050d-e4ef-4201-bcda-520caf873b8d","species","Thaliacea","海樽綱","Doliolida","海樽目","Doliolidae","海樽科","Doliolum","","Doliolum denticulatum","","","",""
"8",380008,380008,380008,"59f5997b-70ad-44d2-b8fc-044d1233aea3","species","Thaliacea","海樽綱","Pyrosomatida","燐海樽目","Pyrosomatidae","燐海樽科","Pyrosomella","燐海樽屬","Pyrosomella verticillata","","","",""
"9",380009,380009,380009,"8f74488b-b4f8-4768-b92c-85f90a0d3bbf","species","Thaliacea","海樽綱","Salpida","??樽目","Salpidae","??樽科","Cyclosalpa","","Cyclosalpa affinis","","","",""
"10",380010,380010,380010,"84e3a36a-8e77-4b85-ad2c-e4398851ca37","species","Thaliacea","海樽綱","Salpida","??樽目","Salpidae","??樽科","Cyclosalpa","","Cyclosalpa pinnata","","","",""
"11",380011,380011,380011,"084d1271-9e95-4913-90f7-a2902851a746","species","Thaliacea","海樽綱","Salpida","??樽目","Salpidae","??樽科","Helicosalpa","","Helicosalpa komaii","","","",""
"12",380012,380012,380012,"9ea423d4-b4c2-4995-bef3-5c828dc8befa","species","Thaliacea","海樽綱","Salpida","??樽目","Salpidae","??樽科","Ihlea","","Ihlea punctata","","","",""
"13",380013,380013,380013,"3df893eb-aa1d-43f9-8963-af36df3c195a","species","Thaliacea","海樽綱","Salpida","??樽目","Salpidae","??樽科","Pegea","","Pegea confoederata","","","",""
